Object Type,IIIF Object Type,Title,AltTitle.other,Published in IDEP,Item ARK,Parent ARK,IIIF Parent ARK,File Name,folder name,Visibility,Item Sequence,Date.created,Date.normalized,Format.extent,Genre,Language,Local identifier,Place of origin,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,viewingHint,Director,Editor,Creator,Producer,Creator.headofinformation,Creator.administrator,Creator.proprietor,Contributor,Description.note,Publisher.publisherName,Format.medium,Subject topic,Thumbnail,Opac url,Program,File_Name,IIIF Manifest URL
Work,,Rumbos Nuevos,,no,ark:/21198/z1x955t3,ark:/21198/z1fb75c1,,,ihc_rumbosnuevos,open,,1944-09-09,1944-09-09,,newspapers,spa,,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,,"Diaz Perez, Enrique|~|Hernandez, Facundo ",,,,,,,,,,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h15wh8,,International Digital Ephemera Project,rumbosnuevos-collection.csv,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz1x955t3
Work,,Sierra Maestra,,no,ark:/21198/z1md1thn,ark:/21198/z1fb75c1,,,ihc_sierramaestra,open,,1957-1958,1957/1958,,newspapers,spa,,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,,,Movimiento 26 de Julio,,,,,,,,,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sx97q2,,International Digital Ephemera Project,sierramaestra-collection.csv,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz1md1thn
Work,,El Tipógrafo,,no,ark:/21198/z1cc3nm5,ark:/21198/z1fb75c1,,,ihc_tipografo,open,,1901-1902,1901/1902,,newspapers,spa,,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,,"Peña y Delgado, Juan|~|Avalòs, Ramon",,,,,,,,,,Cuba -- Politics and government -- 1899-1902|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gq9kqb,,International Digital Ephemera Project,tipografo-collection.csv,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz1cc3nm5
Work,Collection,Cuadernos de la Universidad del Aire,,no,ark:/21198/z1hn2jw4,ark:/21198/z1fb75c1|~|ark:/21198/z19c9kx1,ark:/21198/z1fb75c1,,ihc_udelaire,open,,1933-1959,1933/1959,,journals|~|radio programs,spa,,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",multi-part,"Mañach, Jorge, Dr.",,Universidad del Aire|~|Radio Salas C.M.B.Z y C.O.B.Z|~|Circuito CMQ Radiocentro Habana,,,,,,,"Editorial Minerva, La Habana (Cuba)|~|Editorial Lex, La Habana (Cuba)",,Cuba--politics and government--1933-1959|~|Radio programs--Cuba--Havana--Periodicals|~|Radio programs--Cuba,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18w62vn,,International Digital Ephemera Project,udelaire-collection.csv,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz1hn2jw4
Work,,La Última Hora,,no,ark:/21198/z1710v9s,ark:/21198/z1fb75c1,,,ihc_ultimahora,open,,1951-1953,1951/1953,,newspapers,spa,,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,,"Talleres Universal Gráfica S.A.|~|Martinez, Vicente|~|Talleres Editorial Ciudad, Consulado 221|~|Talleres Lamparilla y Mercaderes|~|Velis López, Julio|~|Aguirre, Mirta",,,,,,,,,,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n904ph,,International Digital Ephemera Project,ultimahora-collection.csv,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz1710v9s
Work,Collection,La Última Noticia,La Última Noticia - Boletin Oficial del Movimiento,no,ark:/21198/z15f1cg4,ark:/21198/z1fb75c1,,,ihc_ultimanoticia,open,,1956,1956,,newspapers,spa,,,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",multi-part,,,,,,,,,,,,Cuba -- Politics and government -- 1933-1959 | Cuba -- Social life and customs | Cuba -- Periodicals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pz7wf0,,International Digital Ephemera Project,ultimanoticia-collection.csv,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz15f1cg4
Work,,La Unión del Marino,,no,ark:/21198/z1xw7d9w,ark:/21198/z1fb75c1,,,ihc_uniondelmarino,open,,1921,1921,,newspapers,spa,,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,,"Arevalo, Juan","Union de Fogoneros, Marineros y Similares de Cuba",,,,,,,,,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1933npp,,International Digital Ephemera Project,uniondelmarino-collection.csv,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz1xw7d9w
Work,,Vanguardia,,no,ark:/21198/z1cw1t5t,ark:/21198/z1fb75c1,,,ihc_vanguardia,open,,1958,1958,,newspapers,spa,,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,,,,,,,,,,,,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j70bcb,,International Digital Ephemera Project,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz1cw1t5t
Work,,Vanguardia Obrera,,no,ark:/21198/z1c56f5x,ark:/21198/z1fb75c1,,,ihc_vanguardiaobrera,open,,1957-1958,1957/1958,,newspapers,spa,,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,,,Organo Obrero del Movimiento Revolucionario 26 de Julio,,,,,,,,,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr5pw1,,International Digital Ephemera Project,vanguardiaobrera-collection.csv,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz1c56f5x
Work,,Via Libre (1911),,no,ark:/21198/z1w69f7z,ark:/21198/z1fb75c1,,,ihc_vialibre,open,,1911,,,newspapers,spa,,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,,,,,,,,,,,,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pg4m54,,International Digital Ephemera Project,vialibre-collection.csv,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz1w69f7z
Work,,Via Libre (1919),,no,ark:/21198/z1201dwh,ark:/21198/z1fb75c1,,,ihc_vialibre,open,,1919,,,newspapers,spa,,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,,,Sindicato de Obreros Elaboradores de Madera,,,,,,,,,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nk68hz,,International Digital Ephemera Project,vialibre2-collection.csv,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz1201dwh
Work,,Villareño,,no,ark:/21198/z1ns3pdh,ark:/21198/z1fb75c1,,,ihc_villareno,open,,1954-09,1954-09,,newspapers,spa,,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,,"Machado y Perez de Prado, Armando A.|~|Gutierrez Delgado, Luis",,,"De Armas Martin, Rafael",,,"Gutierrez Delgado, Luis",,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tb42dh,,International Digital Ephemera Project,villareno-collection.csv,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz1ns3pdh
Work,Collection,Noticias de Hoy,,yes,ark:/21198/z13r9ncm,ark:/21198/z1fb75c1,,,,open,,1938/1965,1938/1965,,newspapers,spa,,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",multi-part,,,,,,,,,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,,,Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qk1kjv%2FKql5NQRpB,,International Digital Ephemera Project,hoy-collection.csv,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz13r9ncm
Work,Collection,El Fígaro,,yes,ark:/21198/z1v79htf,ark:/21198/z1fb75c1,,,elfigaro,open,,1885-1945,1885/1945,,newspapers,spa,,Havana (Cuba),Biblioteca Nacional de Cuba José Martí,text,unknown,"http://www.bnjm.cu, portal@bnjm.cu",multi-part,,"Bázaga, Rafael|~|Pichardo, Manuel Serafín|~|Catalá, Ramón",,,,,,,,Impr. El Figaro,,Cuban Literature|~|Intellectual Life Cuba,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qg8s2p%2FxfgyU2cxK,,International Digital Ephemera Project,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fz1v79htf
