Object Type,Title,Item ARK,Parent ARK,Visibility,Item Sequence,File Name,Thumbnail,AltTitle.other,collection.physical,Contents note,Date.created,Date.normalized,Description.note,Format.dimensions,Format.extent,Format.medium,Genre,Language,Local identifier,Name.creator,Name.subject,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,Statement of Responsibility,Subject geographic,Subject temporal,viewingHint,Name.director,Name.editor,Subject,volume | issue,Contributer.administrator,Contributer,IIIF Manifest URL
Work,1898-05-19,ark:/21198/z18s7h8r,ark:/21198/z10g6cgt,open,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cn9x9g,,,There is a faded stamp on the cover on the middle of the page.Text is blurry and faded with smudge marks on numerous pages.,Mayo 19 de 1898|~|1898-05-19,1898-05-19,,,24 pages,digitized microfilm,newspapers,spa,ihc_cayohueso_18980519,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Vilaró, Dr. Juan","Figueroa , S.",Cuba -- Politics and government -- 19th century|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 02 | no. 21,"Peláez, Angel","Alonso, Eduardo|~|Armona, Dr. J. Ramón|~|Betances, Dr. R. E.|~|Borrero, Dr. Estéban|~|Byrne, Bonifacio|~|Cañizares, Dr. Felipe G.|~|Cuervo, Dr. Sebastián|~|Faura, Francsíco|~|Figueredo, Fernando|~|Garcia Cisneros, Francisco|~|Guerra, Benjamín|~|González, Francisco M.|~|Miró, Fidel|~|Moré, Manuel|~|Palomino, Rafael de Castro|~|Pérez Carbó, Federico|~|Pierra, Fidel G.|~|Porro A., Dr. Nicolás|~|Pouble, Círilo|~|Quesada, Gonzalo de|~|Ramos Merlo, Aurelio|~|Revilla Dr. Carlos|~|Rosas, Julio|~|Sellén, Francisco|~|Tejera Diego Vicente|~|Uhrbach, Federico|~|Zayas, Ledo, Alfredo|~|Dulce María Borrero|~|Bosch y J. Barroso",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz18s7h8r/manifest
Work,1898-06-12,ark:/21198/z1545fx6,ark:/21198/z10g6cgt,open,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18p8sv1,,,There is a faded stamp on the cover on the middle of the page.Tears visible on left side of cover page.  Text is blurry and faded with smudge marks on numerous pages.,Junio 12 de 1898|~|1898-06-12,1898-06-12,,,21 pages,digitized microfilm,newspapers,spa,ihc_cayohueso_18980612,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Vilaró, Dr. Juan","Figueroa , S.",Cuba -- Politics and government -- 19th century|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 02 | no. 22,"Peláez, Angel","Alonso, Eduardo|~|Armona, Dr. J. Ramón|~|Betances, Dr. R. E.|~|Borrero, Dr. Estéban|~|Byrne, Bonifacio|~|Cañizares, Dr. Felipe G.|~|Cuervo, Dr. Sebastián|~|Faura, Francsíco|~|Figueredo, Fernando|~|Garcia Cisneros, Francisco|~|Guerra, Benjamín|~|González, Francisco M.|~|Miró, Fidel|~|Moré, Manuel|~|Palomino, Rafael de Castro|~|Pérez Carbó, Federico|~|Pierra, Fidel G.|~|Porro A., Dr. Nicolás|~|Pouble, Círilo|~|Quesada, Gonzalo de|~|Ramos Merlo, Aurelio|~|Revilla Dr. Carlos|~|Rosas, Julio|~|Sellén, Francisco|~|Tejera Diego Vicente|~|Uhrbach, Federico|~|Zayas, Ledo, Alfredo|~|Dulce María Borrero|~|Bosch y J. Barroso",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1545fx6/manifest
Work,1898-06-23,ark:/21198/z11c4q6w,ark:/21198/z10g6cgt,open,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k09xn8,,,"There is a faded stamp on the cover on the middle of the page. The number ""23"" is written on the cover above ""NUM. 26"" which stands for the issue no. Perhaps a misprint? Page 19 is damaged and illegible.   Text is blurry and faded with on numerous pages. ",Junio 23 de 1898|~|1898-06-23,1898-06-23,,,24 pages,digitized microfilm,newspapers,spa,ihc_cayohueso_18980623,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Vilaró, Dr. Juan","Figueroa , S.",Cuba -- Politics and government -- 19th century|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 02 | no. 26,"Peláez, Angel","Alonso, Eduardo|~|Armona, Dr. J. Ramón|~|Betances, Dr. R. E.|~|Borrero, Dr. Estéban|~|Byrne, Bonifacio|~|Cañizares, Dr. Felipe G.|~|Cuervo, Dr. Sebastián|~|Faura, Francsíco|~|Figueredo, Fernando|~|Garcia Cisneros, Francisco|~|Guerra, Benjamín|~|González, Francisco M.|~|Miró, Fidel|~|Moré, Manuel|~|Palomino, Rafael de Castro|~|Pérez Carbó, Federico|~|Pierra, Fidel G.|~|Porro A., Dr. Nicolás|~|Pouble, Círilo|~|Quesada, Gonzalo de|~|Ramos Merlo, Aurelio|~|Revilla Dr. Carlos|~|Rosas, Julio|~|Sellén, Francisco|~|Tejera Diego Vicente|~|Uhrbach, Federico|~|Zayas, Ledo, Alfredo|~|Dulce María Borrero|~|Bosch y J. Barroso",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11c4q6w/manifest
Work,1898-07-10,ark:/21198/z1wm46p4,ark:/21198/z10g6cgt,open,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g47hqw,,,"There is a faded stamp on the cover on the middle of the page.Page 10 has a written scribble on the right bottom portion of the page next to the ""EMILIO PLANAS"" heading. Text is blurry and faded on numerous pages.",Julio 10 de 1898|~|1898-07-10,1898-07-10,,,21 pages,digitized microfilm,newspapers,spa,ihc_cayohueso_18980710,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Vilaró, Dr. Juan","Figueroa , S.",Cuba -- Politics and government -- 19th century|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 03 | no. 24,"Peláez, Angel","Alonso, Eduardo|~|Armona, Dr. J. Ramón|~|Betances, Dr. R. E.|~|Borrero, Dr. Estéban|~|Byrne, Bonifacio|~|Cañizares, Dr. Felipe G.|~|Cuervo, Dr. Sebastián|~|Faura, Francsíco|~|Figueredo, Fernando|~|Garcia Cisneros, Francisco|~|Guerra, Benjamín|~|González, Francisco M.|~|Miró, Fidel|~|Moré, Manuel|~|Palomino, Rafael de Castro|~|Pérez Carbó, Federico|~|Pierra, Fidel G.|~|Porro A., Dr. Nicolás|~|Pouble, Círilo|~|Quesada, Gonzalo de|~|Ramos Merlo, Aurelio|~|Revilla Dr. Carlos|~|Rosas, Julio|~|Sellén, Francisco|~|Tejera Diego Vicente|~|Uhrbach, Federico|~|Zayas, Ledo, Alfredo|~|Dulce María Borrero|~|Bosch y J. Barroso",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1wm46p4/manifest
Work,1898-07-24,ark:/21198/z1rv3g1q,ark:/21198/z10g6cgt,open,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rf8ngc,,,There is a faded stamp on the cover on the middle of the page.Tears visible on edge of page 3. Text is blurry and faded with smudge marks on numerous pages.,Julio 24 de 1898|~|1898-07-24,1898-07-24,,,21 pages,digitized microfilm,newspapers,spa,ihc_cayohueso_18980724,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Vilaró, Dr. Juan","Figueroa , S.",Cuba -- Politics and government -- 19th century|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 03 | no. 25,"Peláez, Angel","Alonso, Eduardo|~|Armona, Dr. J. Ramón|~|Betances, Dr. R. E.|~|Borrero, Dr. Estéban|~|Byrne, Bonifacio|~|Cañizares, Dr. Felipe G.|~|Cuervo, Dr. Sebastián|~|Faura, Francsíco|~|Figueredo, Fernando|~|Garcia Cisneros, Francisco|~|Guerra, Benjamín|~|González, Francisco M.|~|Miró, Fidel|~|Moré, Manuel|~|Palomino, Rafael de Castro|~|Pérez Carbó, Federico|~|Pierra, Fidel G.|~|Porro A., Dr. Nicolás|~|Pouble, Círilo|~|Quesada, Gonzalo de|~|Ramos Merlo, Aurelio|~|Revilla Dr. Carlos|~|Rosas, Julio|~|Sellén, Francisco|~|Tejera Diego Vicente|~|Uhrbach, Federico|~|Zayas, Ledo, Alfredo|~|Dulce María Borrero|~|Bosch y J. Barroso",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rv3g1q/manifest
Work,1898-08-14,ark:/21198/z1n32q7d,ark:/21198/z10g6cgt,open,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11r9hzz,,,There is a faded stamp on the cover on the middle of the page.Text is blurry and faded on numerous pages.,Agosto 14 de 1898|~|1898-08-14,1898-08-14,,,20 pages,digitized microfilm,newspapers,spa,ihc_cayohueso_18980814,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Vilaró, Dr. Juan","Figueroa , S.",Cuba -- Politics and government -- 19th century|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 03 | no. 26,"Peláez, Angel","Alonso, Eduardo|~|Armona, Dr. J. Ramón|~|Betances, Dr. R. E.|~|Borrero, Dr. Estéban|~|Byrne, Bonifacio|~|Cañizares, Dr. Felipe G.|~|Cuervo, Dr. Sebastián|~|Faura, Francsíco|~|Figueredo, Fernando|~|Garcia Cisneros, Francisco|~|Guerra, Benjamín|~|González, Francisco M.|~|Miró, Fidel|~|Moré, Manuel|~|Palomino, Rafael de Castro|~|Pérez Carbó, Federico|~|Pierra, Fidel G.|~|Porro A., Dr. Nicolás|~|Pouble, Círilo|~|Quesada, Gonzalo de|~|Ramos Merlo, Aurelio|~|Revilla Dr. Carlos|~|Rosas, Julio|~|Sellén, Francisco|~|Tejera Diego Vicente|~|Uhrbach, Federico|~|Zayas, Ledo, Alfredo|~|Dulce María Borrero|~|Bosch y J. Barroso",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1n32q7d/manifest
Work,1898-08-28,ark:/21198/z1hb1zj4,ark:/21198/z10g6cgt,open,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fv1dd8,,,There is a faded stamp on the cover on the top left side of the page.Page 10 has blurred streaks in the right corner of the pageThere is a faded stamp on the cover on the middle of the page.Tears visible on edge of pages.  Text is blurry and faded with smudge marks on numerous pages,Agosto 28 de 1898|~|1898-08-28,1898-08-28,,,20 pages,digitized microfilm,newspapers,spa,ihc_cayohueso_18980828,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Vilaró, Dr. Juan","Figueroa , S.",Cuba -- Politics and government -- 19th century|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 03 | no. 27,"Peláez, Angel",,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1hb1zj4/manifest
Work,1898-09-11,ark:/21198/z1ck16sb,ark:/21198/z10g6cgt,open,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vx38zz,,,There is a faded stamp on the cover on the middle of the page.Text is blurry and faded on numerous pages.,Septiembre 11 de 1898|~|1898-09-11,1898-09-11,,,21 pages,digitized microfilm,newspapers,spa,ihc_cayohueso_18980911,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Vilaró, Dr. Juan","Figueroa , S.",Cuba -- Politics and government -- 19th century|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 03 | no. 28,"Peláez, Angel","Alonso, Eduardo|~|Armona, Dr. J. Ramón|~|Betances, Dr. R. E.|~|Borrero, Dr. Estéban|~|Byrne, Bonifacio|~|Cañizares, Dr. Felipe G.|~|Cuervo, Dr. Sebastián|~|Faura, Francsíco|~|Figueredo, Fernando|~|Garcia Cisneros, Francisco|~|Guerra, Benjamín|~|González, Francisco M.|~|Miró, Fidel|~|Moré, Manuel|~|Palomino, Rafael de Castro|~|Pérez Carbó, Federico|~|Pierra, Fidel G.|~|Porro A., Dr. Nicolás|~|Pouble, Círilo|~|Quesada, Gonzalo de|~|Ramos Merlo, Aurelio|~|Revilla Dr. Carlos|~|Rosas, Julio|~|Sellén, Francisco|~|Tejera Diego Vicente|~|Uhrbach, Federico|~|Zayas, Ledo, Alfredo|~|Dulce María Borrero|~|Bosch y J. Barroso",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ck16sb/manifest
Work,1898-09-25,ark:/21198/z17w95h7,ark:/21198/z10g6cgt,open,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15745f8,,,There is a faded stamp on the cover on the middle of the page.Text is blurry and faded on numerous pages.,Septiembre 25 de 1898|~|1898-09-25,1898-09-25,,,21 pages,digitized microfilm,newspapers,spa,ihc_cayohueso_18980925,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Vilaró, Dr. Juan","Figueroa , S.",Cuba -- Politics and government -- 19th century|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 03 | no. 29,"Peláez, Angel","Alonso, Eduardo|~|Armona, Dr. J. Ramón|~|Betances, Dr. R. E.|~|Borrero, Dr. Estéban|~|Byrne, Bonifacio|~|Cañizares, Dr. Felipe G.|~|Cuervo, Dr. Sebastián|~|Faura, Francsíco|~|Figueredo, Fernando|~|Garcia Cisneros, Francisco|~|Guerra, Benjamín|~|González, Francisco M.|~|Miró, Fidel|~|Moré, Manuel|~|Pérez Carbó, Federico|~|Porro A., Dr. Nicolás|~|Pouble, Círilo|~|Quesada, Gonzalo de|~|Ramos Merlo, Aurelio|~|Revilla Dr. Carlos|~|Rosas, Julio|~|Sellén, Francisco|~|Tejera Diego Vicente|~|Uhrbach, Federico|~|Uhrbach Carlos Pío|~|Zayas, Ledo, Alfredo|~|Dulce María Borrero|~|Bosch y J. Barroso",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz17w95h7/manifest
Work,1898-10-10,ark:/21198/z1448dst,ark:/21198/z10g6cgt,open,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fj596r,,,Frail page edges. There is a faded stamp on the cover on the middle of the page.Tears visible on several pages. Text is blurry and faded with smudge marks on numerous pages.,Octubre 10 de 1898|~|1898-10-10,1898-10-10,,,28 pages,digitized microfilm,newspapers,spa,ihc_cayohueso_18981010,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Vilaró, Dr. Juan","Figueroa , S.",Cuba -- Politics and government -- 19th century|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 03 | no. 30,"Peláez, Angel","Alonso, Eduardo|~|Armona, Dr. J. Ramón|~|Betances, Dr. R. E.|~|Borrero, Dr. Estéban|~|Byrne, Bonifacio|~|Cañizares, Dr. Felipe G.|~|Cuervo, Dr. Sebastián|~|Faura, Francsíco|~|Figueredo, Fernando|~|Garcia Cisneros, Francisco|~|Guerra, Benjamín|~|González, Francisco M.|~|Miró, Fidel|~|Moré, Manuel|~|Pérez Carbó, Federico|~|Porro A., Dr. Nicolás|~|Pouble, Círilo|~|Quesada, Gonzalo de|~|Ramos Merlo, Aurelio|~|Revilla Dr. Carlos|~|Rosas, Julio|~|Sellén, Francisco|~|Tejera Diego Vicente|~|Uhrbach, Federico|~|Uhrbach Carlos Pío|~|Zayas, Ledo, Alfredo|~|Dulce María Borrero|~|Bosch y J. Barroso",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1448dst/manifest
